id,order,repeat,stage,added,completed_set,basis,scope,region,mode,mae,ssim,lpips,highpass_mae
BPS-r2-s1,BPS,2,1,B,B,previous,skin,cheek_viewer_right,6,0.031643908470869064,0.8861503005027771,,0.01015253085643053
batch-r2-s1,batch,2,1,SBP,SBP,original,face,whole_roi,fixed,0.0971202701330185,0.860867440700531,0.076300710439682,
batch-r2-s1,batch,2,1,SBP,SBP,original,skin,weighted_three_regions,fixed,0.05465493710602031,0.8340916327629209,,0.012712817089084318
batch-r2-s1,batch,2,1,SBP,SBP,original,skin,forehead,fixed,0.05376512557268143,0.8074190616607666,,0.013891150243580341
batch-r2-s1,batch,2,1,SBP,SBP,original,skin,cheek_viewer_left,fixed,0.066452257335186,0.8673334121704102,,0.011892435140907764
batch-r2-s1,batch,2,1,SBP,SBP,original,skin,cheek_viewer_right,fixed,0.043994124978780746,0.8835044503211975,,0.010177900083363056
batch-r2-s1,batch,2,1,SBP,SBP,original,face,whole_roi,1,0.0971202701330185,0.860867440700531,0.076300710439682,
batch-r2-s1,batch,2,1,SBP,SBP,original,skin,weighted_three_regions,1,0.05465493710602031,0.8340916327629209,,0.012712817089084318
batch-r2-s1,batch,2,1,SBP,SBP,original,skin,forehead,1,0.05376512557268143,0.8074190616607666,,0.013891150243580341
batch-r2-s1,batch,2,1,SBP,SBP,original,skin,cheek_viewer_left,1,0.066452257335186,0.8673334121704102,,0.011892435140907764
batch-r2-s1,batch,2,1,SBP,SBP,original,skin,cheek_viewer_right,1,0.043994124978780746,0.8835044503211975,,0.010177900083363056
batch-r2-s1,batch,2,1,SBP,SBP,original,face,whole_roi,3,0.0971202701330185,0.860867440700531,0.076300710439682,
batch-r2-s1,batch,2,1,SBP,SBP,original,skin,weighted_three_regions,3,0.05465493710602031,0.8340916327629209,,0.012712817089084318
batch-r2-s1,batch,2,1,SBP,SBP,original,skin,forehead,3,0.05376512557268143,0.8074190616607666,,0.013891150243580341
batch-r2-s1,batch,2,1,SBP,SBP,original,skin,cheek_viewer_left,3,0.066452257335186,0.8673334121704102,,0.011892435140907764
batch-r2-s1,batch,2,1,SBP,SBP,original,skin,cheek_viewer_right,3,0.043994124978780746,0.8835044503211975,,0.010177900083363056
batch-r2-s1,batch,2,1,SBP,SBP,original,face,whole_roi,6,0.0971202701330185,0.860867440700531,0.076300710439682,
batch-r2-s1,batch,2,1,SBP,SBP,original,skin,weighted_three_regions,6,0.05465493710602031,0.8340916327629209,,0.012712817089084318
batch-r2-s1,batch,2,1,SBP,SBP,original,skin,forehead,6,0.05376512557268143,0.8074190616607666,,0.013891150243580341
batch-r2-s1,batch,2,1,SBP,SBP,original,skin,cheek_viewer_left,6,0.066452257335186,0.8673334121704102,,0.011892435140907764
batch-r2-s1,batch,2,1,SBP,SBP,original,skin,cheek_viewer_right,6,0.043994124978780746,0.8835044503211975,,0.010177900083363056
batch-r2-s1,batch,2,1,SBP,SBP,previous,face,whole_roi,fixed,0.0971202701330185,0.860867440700531,0.076300710439682,
batch-r2-s1,batch,2,1,SBP,SBP,previous,skin,weighted_three_regions,fixed,0.05465493710602031,0.8340916327629209,,0.012712817089084318
batch-r2-s1,batch,2,1,SBP,SBP,previous,skin,forehead,fixed,0.05376512557268143,0.8074190616607666,,0.013891150243580341
batch-r2-s1,batch,2,1,SBP,SBP,previous,skin,cheek_viewer_left,fixed,0.066452257335186,0.8673334121704102,,0.011892435140907764
